step,real_vehicle_count,sensor_vehicle_count,avg_speed,waiting_time,attack_detected,mode,green_light_duration
0,1,1,0.00,0,FALSE,NORMAL_AI,25
1,2,2,1.06,0,FALSE,NORMAL_AI,25
2,3,3,2.19,0,FALSE,NORMAL_AI,25
3,4,4,3.15,0,FALSE,NORMAL_AI,25
4,5,5,4.35,0,FALSE,NORMAL_AI,25
5,6,6,5.21,0,FALSE,NORMAL_AI,25
6,7,7,6.13,0,FALSE,NORMAL_AI,25
7,8,8,6.79,0,FALSE,NORMAL_AI,25
8,9,9,7.35,0,FALSE,NORMAL_AI,25
9,10,10,8.02,0,FALSE,NORMAL_AI,25
10,11,11,8.77,0,FALSE,NORMAL_AI,25
11,12,12,8.97,0,FALSE,NORMAL_AI,25
12,13,13,9.20,0,FALSE,NORMAL_AI,25
13,14,14,9.30,0,FALSE,NORMAL_AI,25
14,15,15,8.86,0,FALSE,NORMAL_AI,25
15,16,16,8.64,0,FALSE,NORMAL_AI,25
16,17,17,8.99,0,FALSE,NORMAL_AI,25
17,18,18,8.78,0,FALSE,NORMAL_AI,25
18,19,19,8.78,0,FALSE,NORMAL_AI,25
19,20,20,8.27,0,FALSE,NORMAL_AI,25
20,21,21,8.12,0,FALSE,NORMAL_AI,45
21,22,22,8.36,1,FALSE,NORMAL_AI,45
22,22,22,9.06,2,FALSE,NORMAL_AI,45
23,23,23,9.06,0,FALSE,NORMAL_AI,45
24,23,23,9.54,0,FALSE,NORMAL_AI,45
25,25,25,8.67,0,FALSE,NORMAL_AI,45
26,26,26,8.58,2,FALSE,NORMAL_AI,45
27,27,27,8.47,2,FALSE,NORMAL_AI,45
28,27,27,8.85,4,FALSE,NORMAL_AI,45
29,28,28,8.80,2,FALSE,NORMAL_AI,45
30,27,27,9.03,0,FALSE,NORMAL_AI,45
31,29,29,8.52,0,FALSE,NORMAL_AI,45
32,30,30,8.96,0,FALSE,NORMAL_AI,45
33,31,31,8.48,0,FALSE,NORMAL_AI,45
34,32,32,8.59,0,FALSE,NORMAL_AI,45
35,32,32,8.93,0,FALSE,NORMAL_AI,45
36,34,34,8.73,0,FALSE,NORMAL_AI,45
37,35,35,9.00,0,FALSE,NORMAL_AI,45
38,36,36,9.08,0,FALSE,NORMAL_AI,45
39,36,36,8.99,0,FALSE,NORMAL_AI,45
40,37,37,9.29,0,FALSE,NORMAL_AI,45
41,38,38,9.61,0,FALSE,NORMAL_AI,45
42,38,38,9.95,0,FALSE,NORMAL_AI,45
43,39,39,9.71,0,FALSE,NORMAL_AI,45
44,40,40,9.57,0,FALSE,NORMAL_AI,45
45,41,41,9.52,0,FALSE,NORMAL_AI,45
46,42,42,9.59,0,FALSE,NORMAL_AI,45
47,43,43,9.47,0,FALSE,NORMAL_AI,45
48,44,44,9.04,1,FALSE,NORMAL_AI,45
49,44,44,9.13,2,FALSE,NORMAL_AI,45
50,45,120,9.03,3,FALSE,NORMAL_AI,45
51,47,120,8.80,0,FALSE,NORMAL_AI,45
52,48,120,8.75,0,FALSE,NORMAL_AI,45
53,49,120,8.73,0,FALSE,NORMAL_AI,45
54,50,120,8.86,1,FALSE,NORMAL_AI,45
55,50,120,8.97,2,FALSE,NORMAL_AI,45
56,51,120,8.90,3,FALSE,NORMAL_AI,45
57,50,120,8.52,5,FALSE,NORMAL_AI,45
58,50,120,8.70,2,FALSE,NORMAL_AI,45
